race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4526,2,2016,ToyotaCare 250,1,0,26,Richmond International Raceway,2016-04-23T12:30:00,2016-04-23T12:30:00,,,187.5,111.75,250,149,,,,40,0,0.0,4,4,2,20,93.623,01:11:37,,0,0,MRN,FS1,2368,,,,,,,,
4543,2,2016,Virginia529 College Savings 250,1,0,26,Richmond International Raceway,2016-09-09T19:30:00,2016-09-09T19:30:00,2016-09-09T00:00:00,,187.5,187.5,250,250,,,,40,3873,119.665,3,3,2,14,103.687,01:48:30,,0,0,MRN,NBCSN,2332,,,,,,,,
4541,2,2016,Road America 180 Fired Up by Johnsonville,1,0,34,Road America,2016-08-27T15:00:00,2016-08-27T15:00:00,2016-08-26T00:00:00,,182.16,194.3,45,48,,,,40,3911,109.866,6,4,6,13,74.573,02:36:20,,0,0,MRN,NBCSN,3793,,,,,,,,
4523,2,2016,TreatMyClot.com 300 by Janssen,1,0,38,Auto Club Speedway,2016-03-19T16:00:00,2016-03-19T16:00:00,2016-03-19T00:00:00,,300.0,300.0,150,150,,,,40,4113,179.955,12,8,4,16,143.008,02:05:52,,0,0,MRN,FS1,2596,,,,,,,,
4544,2,2016,Drive for Safety 300,1,0,39,Chicagoland Speedway,2016-09-17T15:00:00,2016-09-17T15:00:00,2016-09-17T00:00:00,,300.0,300.0,200,200,,,,40,454,180.735,22,11,8,38,120.576,02:29:17,,0,0,MRN,NBC,2712,,,,,,,,
4551,2,2016,Ford EcoBoost 300,1,0,40,Homestead-Miami Speedway,2016-11-19T15:30:00,2016-11-19T15:30:00,2016-11-19T00:00:00,,300.0,300.0,200,200,,,,40,4113,169.924,21,11,7,39,116.455,02:34:34,,0,0,MRN,NBCSN,2861,,,,,,,,
4548,2,2016,Kansas Lottery 300,1,0,41,Kansas Speedway,2016-10-15T15:00:00,2016-10-15T15:00:00,2016-10-15T00:00:00,,300.0,300.0,200,200,,,,40,454,182.1,17,7,10,51,109.256,02:44:45,,0,0,MRN,NBC,2721,,,,,,,,
4521,2,2016,Boyd Gaming 300,1,0,42,Las Vegas Motor Speedway,2016-03-05T16:00:00,2016-03-05T16:00:00,2016-03-05T00:00:00,,300.0,300.0,200,200,,,,40,454,182.698,2,2,3,15,145.415,02:03:47,,0,0,PRN,FS1,2573,,,,,,,,
4524,2,2016,O'Reilly Auto Parts 300,1,0,43,Texas Motor Speedway,2016-04-08T20:30:00,2016-04-08T20:30:00,2016-04-08T00:00:00,,300.0,300.0,200,200,,,,40,454,188.475,6,3,5,22,141.121,02:07:33,,0,0,PRN,FS1,2576,,,,,,,,
4549,2,2016,O'Reilly Auto Parts Challenge,1,0,43,Texas Motor Speedway,2016-11-05T15:30:00,2016-11-05T15:30:00,2016-11-05T00:00:00,,300.0,300.0,200,200,,,,40,1816,186.909,5,4,5,22,140.992,02:07:40,,0,0,PRN,NBC,3794,,,,,,,,
4545,2,2016,VisitMyrtleBeach.com 300,1,0,61,Kentucky Speedway,2016-09-24T20:00:00,2016-09-24T20:00:00,2016-09-24T00:00:00,,300.0,300.0,200,200,,,,40,4059,187.207,16,8,12,64,106.751,02:48:37,,0,0,PRN,NBCSN,4082,,,,,,,,
4534,2,2016,Alsco 300,1,0,61,Kentucky Speedway,2016-07-08T20:30:00,2016-07-08T20:30:00,2016-07-08T00:00:00,,300.0,301.5,200,201,,,,40,454,187.318,11,6,5,22,144.258,02:05:24,,0,0,PRN,NBCSN,2709,,,,,,,,
4539,2,2016,Mid-Ohio Challenge,1,0,72,Mid-Ohio Sports Car Course,2016-08-13T15:30:00,2016-08-13T15:30:00,2016-08-12T00:00:00,,169.35,180.0,75,75,,,,40,3776,96.374,13,8,8,32,53.437,03:10:09,,0,0,MRN,USA,4229,,,,,,,,
4527,2,2016,Sparks Energy 300,1,1,82,Talladega Superspeedway,2016-04-30T15:00:00,2016-04-30T15:00:00,2016-04-30T00:00:00,,324.52,308.56,113,116,,,,40,4131,181.168,20,13,7,29,132.477,02:19:45,,0,0,MRN,FOX,2447,,,,,,,,
4522,2,2016,Axalta Faster. Tougher. Brighter. 200,1,0,84,Phoenix International Raceway,2016-03-12T14:30:00,2016-03-12T14:30:00,2016-03-12T00:00:00,,200.0,200.0,200,200,,,,40,4059,136.789,5,4,3,16,114.087,01:45:11,,0,0,MRN,FOX,2837,,,,,,,,
4550,2,2016,Ticket Galaxy 200,1,0,84,Phoenix International Raceway,2016-11-12T19:30:00,2016-11-12T19:30:00,2016-11-12T00:00:00,,200.0,200.0,200,200,,,,40,454,136.132,6,4,6,39,97.31,02:03:19,,0,0,MRN,NBCSN,2860,,,,,,,,
4546,2,2016,Drive Sober 200,1,0,103,Dover International Speedway,2016-10-01T15:00:00,2016-10-02T10:00:00,2016-10-01T00:00:00,,200.0,200.0,200,200,,,,40,4059,158.318,11,7,4,35,104.076,01:55:18,,0,0,MRN,CNBC,2275,,,,,,,,
4530,2,2016,Ollie's Bargain Outlet 200,1,0,103,Dover International Speedway,2016-05-14T14:00:00,2016-05-14T14:00:00,2016-05-14T00:00:00,,200.0,120.0,200,120,,,,40,4059,157.102,4,3,2,10,122.867,00:58:36,,0,0,MRN,FOX,2141,,,,,,,,
4533,2,2016,Subway Firecracker 250 Powered by Coca-Cola,1,1,105,Daytona International Speedway,2016-07-01T19:30:00,2016-07-01T19:30:00,2016-07-01T00:00:00,,250.0,257.5,100,103,,,,40,2674,180.346,19,12,8,33,121.192,02:07:29,,0,0,MRN,NBCSN,2744,,,,,,,,
4519,2,2016,PowerShares QQQ 300,1,1,105,Daytona International Speedway,2016-02-20T15:30:00,2016-02-20T15:30:00,2016-02-20T00:00:00,,300.0,300.0,120,120,,,,40,4013,181.844,19,9,4,17,151.176,01:59:04,,0,0,MRN,FS1,2131,,,,,,,,
4520,2,2016,Heads Up Georgia 250,1,0,111,Atlanta Motor Speedway,2016-02-27T13:30:00,2016-02-27T13:30:00,2016-02-27T00:00:00,,300.3,251.02,163,163,,,,40,454,185.499,5,4,5,21,137.065,01:49:53,,0,0,PRN,FS1,2432,,,,,,,,
