vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
47,Ricky Stenhouse Jr.,Chv,17,17,2,2,1550.465,1585.39,34.925,1555.515,1563.275,7.76,5.05,22.115,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,16,16,0,5544
19,Chase Briscoe,Tyt,18,17,2,2,1551.504,1582.807,31.303,1574.595,1578.255,3.66,23.091,4.552,OTHER,False,False,False,False,0,0,17,14,3,5544
54,Ty Gibbs,Tyt,18,17,2,2,1551.789,1620.439,68.65,1570.335,1612.675,42.34,18.546,7.764,OTHER,False,False,False,False,0,0,18,19,-1,5544
60,Ryan Preece,Frd,18,17,2,2,1577.425,1604.438,27.013,1596.055,1599.415,3.36,18.63,5.023,OTHER,False,False,False,False,0,0,19,18,1,5544
40,* Justin Allgaier(i),Chv,25,25,2,2,2114.516,2142.372,27.856,2129.015,2133.435,4.42,14.499,8.937,OTHER,False,False,False,False,0,0,10,16,-6,5544
54,Ty Gibbs,Tyt,25,25,2,2,2114.755,2219.535,104.78,2130.095,2211.715,81.62,15.34,7.82,OTHER,False,False,False,False,0,0,11,19,-8,5544
54,Ty Gibbs,Tyt,25,25,2,2,2114.755,2219.535,104.78,2130.095,2211.715,81.62,15.34,7.82,OTHER,False,False,False,False,0,0,11,19,-8,5544
44,* JJ Yeley,Chv,26,25,2,2,2116.023,2144.576,28.553,2122.415,2127.095,4.68,6.392,17.481,OTHER,False,False,False,False,0,0,14,17,-3,5544
19,Chase Briscoe,Tyt,26,25,2,2,2119.001,2166.717,47.716,2138.575,2162.035,23.46,19.574,4.682,OTHER,False,False,False,False,0,0,18,18,0,5544
56,* Martin Truex Jr.,Tyt,43,43,2,2,3207.112,3245.233,38.121,3217.375,3232.655,15.28,10.263,12.578,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,11,17,-6,5544
21,Josh Berry,Frd,44,43,2,2,3210.695,3245.904,35.209,3228.235,3240.535,12.3,17.54,5.369,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,18,-1,5544
77,Carson Hocevar,Chv,44,43,2,2,3211.219,3241.112,29.893,3218.235,3223.855,5.62,7.016,17.257,OTHER,False,False,False,False,0,0,18,16,2,5544
84,* Jimmie Johnson,Tyt,34,33,1,1,1673.01,1706.618,33.608,1682.496,1692.196,9.7,9.486,14.422,OTHER,False,False,False,False,0,0,22,22,0,5545
99,Daniel Suarez,Chv,43,43,1,1,2146.892,2173.66,26.768,2153.436,2157.636,4.2,6.544,16.024,OTHER,False,False,False,False,0,0,11,11,0,5545
11,Denny Hamlin,Tyt,44,43,1,1,2147.278,2179.062,31.784,2159.936,2169.436,9.5,12.658,9.626,OTHER,False,False,False,False,0,0,12,19,-7,5545
5,Kyle Larson,Chv,44,43,1,1,2147.593,2174.968,27.375,2164.716,2169.576,4.86,17.123,5.392,OTHER,False,False,False,False,0,0,13,12,1,5545
