race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5437,67,72,Accident,"#9, 51, 1, 48, 39, 20, 91, 16, 38, 42, 18 incident frontstretch",None,2
5437,75,78,Debris,Debris backstretch,None,2
5437,113,117,Accident,"#21, 48, 5, 32, 91, 19, 07, 27, 66 incident turn 4",92,2
5437,119,122,Accident,"48, 2, 18, 11 incident turn 1",39,2
5438,6,13,Accident,"#15, 35 Incident Frontstretch",None,2
5438,27,32,Accident,#39 Incident Turn 2,15,2
5438,47,51,Competition,Stage 1 Conclusion,15,2
5438,92,98,Competition,Stage 2 Conclusion,44,2
5438,160,172,Weather,Weather [Red Flag: 00:12:49],10,2
5438,175,179,Accident,"#16, 9 Incident Backstretch",43,2
5438,185,189,Accident,"#1, 19 Incident Turn 2",51,2
5438,195,200,Accident,"#7, 8, 10, 28, 42, 44, 98 Incident Turn 4",None,2
5438,202,206,Spin,#21 Spin Turn 2,97,2
5438,208,208,Accident,#7 Incident Frontstretch,None,2
5439,22,25,Competition,Competition Caution,42,2
5439,47,52,Competition,Stage 1 Conclusion,17,2
5439,92,98,Competition,Stage 2 Conclusion,92,2
5439,103,108,Spin,#15 Spin Frontstretch,17,2
5439,124,131,Spin,#28 Spin Turn 2,35,2
5440,31,36,Accident,"No. 98, 16 Incident Backstretch",15,2
5440,47,52,Competition,Stage 1 Conclusion,92,2
5440,74,79,Spin,No. 48 Spin Turn 4,16,2
5440,92,97,Competition,Stage 2 Conclusion,5,2
5440,109,113,Spin,No. 28 Spin Turn 2,5,2
5440,170,175,Accident,No. 43 Incident Turn 2,5,2
5440,177,182,Accident,"No. 7, 20, 17, 43 Incident Frontstretch",51,2
5440,185,188,Unknown,,27,2
5441,27,29,Competition,Stage 1 Conclusion,6,2
5441,51,55,Competition,#38 Stalled on Track/Stage 2 Conclusion,6,2
5441,64,66,Debris,Debris Turn 9,2,2
5441,69,71,Accident,"#9, 14, 29, 81, 44, 43 Incident Turn 12",32,2
5442,22,24,Competition,Stage 1 Conclusion,26,2
5442,47,49,Competition,Stage 2 Conclusion,42,2
5442,51,55,Accident,"#9, 19, 26, 27, 11, 91, 39, 19, 81, 31, 50, 92, 98 Incident Turn 2",42,2
5442,66,68,Accident,#2 Incident Turn 10,91,2
5430,35,41,Accident,No. 16 Incident Turn 4,29,2
5430,73,82,Accident,No. 27 Incident Turn 2 / Stage 1 Conclusion,4,2
5430,88,96,Accident,"No. 91, 29, 97 Incident Backstretch",07,2
5430,125,132,Spin,No. 07 Spin Turn 2,14,2
5430,151,160,Accident,No. 2 Incident Turn 4 / Stage 2 Conclusion,14,2
5430,203,210,Accident,No. 7 Incident Turn 4,35,2
5430,219,224,Accident,No. 21 Incident Turn 1,5,2
5430,231,237,Unknown,Fluid on track,38,2
5430,246,251,Accident,No. 20 Incident Turn 4,39,2
5446,12,16,Competition,Competition Caution,None,2
5446,29,33,Unknown,#07 Slow On Track,None,2
5446,36,39,Accident,"#16, 48, 98 Incident Turn 1",6,2
5446,47,52,Competition,Stage 1 Conclusion,07,2
5446,92,98,Competition,Stage 2 Conclusion,42,2
5446,102,105,Spin,#6 Spin Turn 4,15,2
5446,169,174,Spin,#6 Spin Backstretch,9,2
5446,177,181,Spin,#81 Spin Turn 3,14,2
5446,183,188,Accident,"#1, 8, 9, 16, 17, 19, 21, 44, 91, 97 Incident Turn 2",29,2
5446,190,194,Accident,"#15, 92 Incident Turn 4",31,2
5446,197,201,Spin,#14 Spin Turn 2,35,2
5443,47,51,Competition,Stage 1 Conclusion,91,2
5443,92,97,Competition,Stage 2 Conclusion,15,2
5443,137,142,Accident,"Nos. 19, 7, 81, Incident Turn 4",38,2
5444,9,10,Debris,Debris turn 6,29,2
5444,17,18,Competition,Stage 1 Conclusion,51,2
5444,24,25,Accident,#16 incident turn 6,29,2
5444,32,34,Competition,Stage 2 Conclusion,29,2
5444,37,39,Accident,"#92, 14, 26, 29, 28, 31, 27 incident turn 11",None,2
5444,41,42,Unknown,#50 stalled on track,29,2
5444,46,47,Accident,#42 incident turn 1,5,2
5447,3,6,Accident,No. 74 Incident Turn 1,None,2
5447,22,25,Competition,Stage 1 Conclusion,9,2
5447,28,30,Debris,Debris Turn 1,15,2
5447,42,46,Competition,Stage 2 Conclusion,15,2
