race_id,car_number,driver_fullname,driver_id,lap,lap_assessed,penalty,notes
5014,52,Josh Bilicki,4213,103,104,Tail End,
5014,20,Christopher Bell,4153,110,114,Tail End,
5014,38,Anthony Alfredo,4301,189,193,Tail End,
5014,38,Anthony Alfredo,4301,226,229,Pass Thru,
5014,22,Joey Logano,3859,255,259,Pass Thru,
5034,77,Josh Berry,4123,0,0,Tail End,Driver Change
5034,9,Chase Elliott,4062,0,0,Tail End,Multiple Inspection Failures
5034,6,Ryan Newman,2394,0,0,Tail End,Unapproved Adjustments
5034,8,Tyler Reddick,4065,37,40,Tail End,
5034,34,Michael McDowell,3832,37,40,Tail End,
5034,7,Corey Lajoie,4096,38,40,Tail End,
5034,34,Michael McDowell,3832,39,40,Tail End,
5034,15,James Davison,4211,39,40,Tail End,
5034,14,Chase Briscoe,4228,121,129,Tail End,
5034,77,Josh Berry,4123,123,129,Tail End,
5034,15,James Davison,4211,123,129,Tail End,
5034,15,James Davison,4211,125,129,Tail End,
5034,77,Josh Berry,4123,172,176,Tail End,
5034,12,Ryan Blaney,4023,172,176,Tail End,
5034,12,Ryan Blaney,4023,174,176,Tail End,
5034,7,Corey Lajoie,4096,174,176,Tail End,Uncontrolled Tire
5034,51,Cody Ware,4125,243,248,Tail End,
5034,51,Cody Ware,4125,246,248,Tail End,
5034,51,Cody Ware,4125,247,248,Tail End,
5034,47,Ricky Stenhouse Jr,3888,305,308,Tail End,
5034,53,Garrett Smithley,4142,307,308,Tail End,
5034,52,Josh Bilicki,4213,307,308,Tail End,
5034,47,Ricky Stenhouse Jr,3888,315,319,Tail End,
5034,38,Anthony Alfredo,4301,316,319,Tail End,
5034,53,Garrett Smithley,4142,329,330,Tail End,
5034,78,BJ McLeod,3973,344,0,Pass Thru,Garage
5033,10,Aric Almirola,40,0,0,Tail End,Unapproved Adjustments
5033,14,Chase Briscoe,4228,0,0,Tail End,Unapproved Adjustments
5033,17,Chris Buescher,3989,0,0,Tail End,Unapproved Adjustments
5033,43,Erik Jones,4059,0,0,Tail End,Unapproved Adjustments
5033,51,Cody Ware,4125,0,0,Tail End,Unapproved Adjustments
5033,15,James Davison,4211,0,0,Tail End,Unapproved Adjustments
5033,38,Anthony Alfredo,4301,0,0,Tail End,Unapproved Adjustments
5033,99,Daniel Suarez,4113,0,0,Tail End,Unapproved Adjustments
5033,11,Denny Hamlin,1361,0,0,Tail End,Unapproved Adjustments
5033,12,Ryan Blaney,4023,0,0,Tail End,Unapproved Adjustments
5033,2,Brad Keselowski,1816,0,0,Tail End,Unapproved Adjustments
5033,99,Daniel Suarez,4113,7,0,Tail End,Garage
5033,15,James Davison,4211,8,9,Tail End,On Entry
5033,24,William Byron,4184,14,18,Tail End,
5033,41,Cole Custer,4104,16,18,Tail End,
5033,12,Ryan Blaney,4023,19,24,Tail End,
5033,47,Ricky Stenhouse Jr,3888,19,24,Tail End,
5033,4,Kevin Harvick,1416,19,0,Tail End,Garage
5033,15,James Davison,4211,20,24,Tail End,
5033,24,William Byron,4184,23,24,Tail End,
5033,3,Austin Dillon,3873,28,30,Pass Thru,Short Cut Chicane
5033,3,Austin Dillon,3873,33,35,Tail End,
5033,00,Quin Houff,4229,39,0,1 Lap,Garage
5033,99,Daniel Suarez,4113,46,47,Pass Thru,
5033,99,Daniel Suarez,4113,46,47,1 Lap,
5033,78,Kyle Tilley,4389,49,50,Pass Thru,
5015,1,Kurt Busch,453,0,0,Tail End,Unapproved Adjustments
5015,78,BJ McLeod,3973,0,0,Tail End,Unapproved Adjustments
5015,00,Quin Houff,4229,104,107,Tail End,Pit Entry Violation - Entered in left lane
5015,78,BJ McLeod,3973,150,153,Pass Thru,
5015,1,Kurt Busch,453,172,0,Tail End,Garage
5015,6,Ryan Newman,2394,296,306,Tail End,
5015,6,Ryan Newman,2394,296,306,Tail End,
5015,12,Ryan Blaney,4023,301,306,Tail End,
5015,23,Bubba Wallace,4025,301,306,Tail End,
5015,38,Anthony Alfredo,4301,351,352,Pass Thru,
5042,78,Scott Heckert,4200,0,0,Tail End,Unapproved Adjustments
5042,38,Anthony Alfredo,4301,0,0,Tail End,"Inspection Violation, Crew Chief Ejected"
5042,23,Bubba Wallace,4025,17,24,Tail End,
5042,99,Daniel Suarez,4113,18,24,Tail End,
5042,3,Austin Dillon,3873,21,24,Tail End,
5042,99,Daniel Suarez,4113,22,24,Tail End,
5042,47,Ricky Stenhouse Jr,3888,32,34,Tail End,
5042,23,Bubba Wallace,4025,39,44,Tail End,
5042,2,Brad Keselowski,1816,71,74,Tail End,Equipment over the wall too soon
5042,15,James Davison,4211,81,83,Pass Thru,
5042,10,Aric Almirola,40,88,90,Tail End,
5042,10,Aric Almirola,40,88,90,Tail End,
5042,38,Anthony Alfredo,4301,88,90,Tail End,
5067,33,Austin Cindric,4180,0,0,Tail End,Multiple Inspection Failures and Unapproved Adjustment
5067,13,David Starr,3170,0,0,Tail End,Unapproved Adjustment
5067,42,Ross Chastain,4001,0,0,Tail End,Inspection Violation
5067,17,Chris Buescher,3989,0,8,Tail End,
5067,33,Austin Cindric,4180,0,8,Tail End,
5067,47,Ricky Stenhouse Jr,3888,5,8,Tail End,
5067,33,Austin Cindric,4180,12,13,Tail End,Choose box
5067,14,Chase Briscoe,4228,14,18,Tail End,
5068,18,Kyle Busch,454,62,67,Pass Thru,
5068,3,Austin Dillon,3873,63,66,Pass Thru,
5068,3,Austin Dillon,3873,79,80,Tail End,
5068,3,Austin Dillon,3873,90,91,Tail End,
5035,00,Quin Houff,4229,0,0,Tail End,Unapproved adjustments
5035,24,William Byron,4184,0,0,Tail End,Unapproved adjustments
5035,43,Erik Jones,4059,0,0,Tail End,Unapproved adjustments
5035,12,Ryan Blaney,4023,0,0,Tail End,Pitting before the green
5035,42,Ross Chastain,4001,44,52,Tail End,
5035,41,Cole Custer,4104,45,52,Tail End,
5035,13,David Starr,3170,51,52,Tail End,
5035,17,Chris Buescher,3989,78,0,Tail End,
5035,77,Justin Haley,4172,78,0,Tail End,Garage
5035,48,Alex Bowman,4045,80,85,Tail End,
5035,7,Corey Lajoie,4096,81,85,Tail End,
5035,48,Alex Bowman,4045,82,85,Tail End,
5035,19,Martin Truex Jr,3368,93,97,Tail End,Not in outside lane
5035,6,Ryan Newman,2394,94,97,Tail End,
5035,23,Bubba Wallace,4025,133,138,Tail End,
5035,19,Martin Truex Jr,3368,134,138,Tail End,
5035,20,Christopher Bell,4153,134,138,Tail End,
5035,51,JJ Yeley,3669,135,138,Tail End,
5035,3,Austin Dillon,3873,137,138,Tail End,
5035,41,Cole Custer,4104,174,0,Tail End,Garage
5035,78,BJ McLeod,3973,178,180,Tail End,
5035,51,JJ Yeley,3669,187,190,Tail End,
5035,51,JJ Yeley,3669,187,190,Tail End,
5035,21,Matt DiBenedetto,3916,189,190,Tail End,
5035,37,Ryan Preece,4070,197,0,Tail End,Garage
5035,21,Matt DiBenedetto,3916,200,202,Tail End,
5035,23,Bubba Wallace,4025,221,222,Tail End,
5035,34,Michael McDowell,3832,221,222,Tail End,
5035,14,Chase Briscoe,4228,228,0,Tail End,Garage
5035,14,Chase Briscoe,4228,228,0,Other - See Notes,2 laps under DVP / Garage
5035,52,Josh Bilicki,4213,231,232,Tail End,
5035,53,Garrett Smithley,4142,231,232,Tail End,
5022,41,Cole Custer,4104,0,0,Tail End,Multiple Inspection Failures
5022,7,Corey Lajoie,4096,10,12,Tail End,
5022,7,Corey Lajoie,4096,10,12,Tail End,
5022,53,Garrett Smithley,4142,11,12,Tail End,
5022,52,Josh Bilicki,4213,11,12,Tail End,
5022,9,Chase Elliott,4062,14,17,Tail End,
5022,9,Chase Elliott,4062,14,17,Tail End,
5022,52,Josh Bilicki,4213,16,17,Tail End,
5022,6,Ryan Newman,2394,53,57,Tail End,
5022,51,Cody Ware,4125,54,57,Tail End,
5022,38,Anthony Alfredo,4301,60,63,Tail End,
5022,6,Ryan Newman,2394,60,63,Tail End,
5022,6,Ryan Newman,2394,60,63,Tail End,
5022,7,Corey Lajoie,4096,60,63,Tail End,
5022,47,Ricky Stenhouse Jr,3888,63,65,Pass Thru,Restart violation
5022,38,Anthony Alfredo,4301,69,75,Tail End,
5022,42,Ross Chastain,4001,71,75,Tail End,
5022,52,Josh Bilicki,4213,74,75,Tail End,
5022,6,Ryan Newman,2394,78,81,Tail End,
5022,66,Timmy Hill,3984,80,81,Tail End,
5022,3,Austin Dillon,3873,91,93,Pass Thru,
5022,21,Matt DiBenedetto,3916,91,93,Pass Thru,
5022,21,Matt DiBenedetto,3916,93,94,Pass Thru,
5022,21,Matt DiBenedetto,3916,110,111,Tail End,
5023,5,Kyle Larson,4030,0,0,Tail End,Backup car
5023,6,Ryan Newman,2394,0,0,Tail End,Backup car
5023,7,Corey Lajoie,4096,0,0,Tail End,Backup car
5023,37,Ryan Preece,4070,0,0,Tail End,Backup car
5023,38,Anthony Alfredo,4301,0,0,Tail End,Backup car
5023,41,Cole Custer,4104,0,0,Tail End,Backup car
5023,42,Ross Chastain,4001,0,0,Tail End,Backup car
5023,77,Justin Allgaier,34,0,0,Tail End,Driver change
5023,38,Anthony Alfredo,4301,2,6,Tail End,
5023,38,Anthony Alfredo,4301,33,35,Tail End,Improper pit entry
5023,52,Josh Bilicki,4213,33,35,Tail End,
5023,52,Josh Bilicki,4213,34,35,Tail End,
5023,3,Austin Dillon,3873,85,90,Tail End,
5023,52,Josh Bilicki,4213,86,90,Tail End,
5023,15,James Davison,4211,87,90,Tail End,
5023,18,Kyle Busch,454,89,90,Tail End,
5023,43,Erik Jones,4059,92,96,Tail End,
5023,15,James Davison,4211,95,96,Tail End,
5023,18,Kyle Busch,454,95,96,Tail End,
5023,99,Daniel Suarez,4113,95,96,Tail End,
5023,66,Timmy Hill,3984,110,111,Other - See Notes,Fail to meet minimum speed
5054,77,Justin Haley,4172,0,0,Tail End,Engine Change
5054,78,Kyle Tilley,4389,0,0,Tail End,Unapproved Adjustments
5054,37,Ryan Preece,4070,0,0,Tail End,Backup Car
5054,23,Bubba Wallace,4025,0,0,Tail End,Transmission Change
5054,18,Kyle Busch,454,0,0,Tail End,Backup Car
5054,52,Josh Bilicki,4213,0,0,Tail End,Unapproved Adjustments
5054,00,Quin Houff,4229,0,0,Tail End,Unapproved Adjustments
5054,3,Austin Dillon,3873,11,16,Tail End,
5054,34,Michael McDowell,3832,11,16,Tail End,On Entry
5054,14,Chase Briscoe,4228,11,16,Tail End,On Exit
5054,78,Kyle Tilley,4389,12,16,Tail End,
5054,20,Christopher Bell,4153,15,16,Tail End,On Entry
5054,41,Cole Custer,4104,15,16,Tail End,
5054,2,Brad Keselowski,1816,15,16,Tail End,
5054,00,Quin Houff,4229,20,22,Pass Thru,On Exit
5054,53,Ryan Eversley,4398,23,0,1 Lap,Drove through 5/13 cutout - Garage
5054,19,Martin Truex Jr,3368,27,32,Tail End,
5054,47,Ricky Stenhouse Jr,3888,44,45,Tail End,Uncontrolled Tire
5018,19,Martin Truex Jr,3368,0,0,Tail End,Multiple Inspection Failures
5018,52,Josh Bilicki,4213,28,29,Tail End,
5018,37,Ryan Preece,4070,28,29,Tail End,
5018,99,Daniel Suarez,4113,31,35,Tail End,
5018,47,Ricky Stenhouse Jr,3888,31,35,Tail End,
5018,51,Cody Ware,4125,31,35,Tail End,
5018,99,Daniel Suarez,4113,81,86,Tail End,Garage
5018,4,Kevin Harvick,1416,85,86,Tail End,
5018,6,Ryan Newman,2394,124,129,Pass Thru,
5018,51,Cody Ware,4125,162,170,Tail End,
5018,11,Denny Hamlin,1361,163,170,Tail End,
5018,51,Cody Ware,4125,164,170,Tail End,
5018,5,Kyle Larson,4030,211,212,Pass Thru,
5030,00,Quin Houff,4229,0,0,Tail End,Multiple Inspection Failures
