race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4404,1,2015,Windows 10 400,1,1,198,Pocono Raceway,2015-08-02T13:30:00,2015-08-02T13:30:00,2015-07-31T00:00:00,,400.0,400.0,160,160,,,,43,454,178.416,18,13,8,32,132.159,03:01:36,,5084726.0,"Matt Kenseth won the Windows 10 400, his 33rd career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 26 (backup car); No. 31 (rear gear).",0,MRN,NBCSN,1122,,,,,,,,
4426,2,2015,VFW Sport Clips Help A Hero 200,1,1,4,Darlington Raceway,2015-09-05T15:30:00,2015-09-05T15:30:00,2015-09-05T00:00:00,,200.8,200.802,147,147,,,,40,1361,171.704,7,3,2,8,141.355,01:25:14,,1091286.0,"Denny Hamlin won the VFW SportClips Help a Hero 200, his 14th career NASCAR XFINITY Series victory and fourth at Darlington Raceway. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 15 (unapproved adjustments) and No. 54 (missed driver introductions).",0,MRN,NBC,2200,,,,,,,,
4423,2,2015,Drive to Stop Diabetes 300,1,1,14,Bristol Motor Speedway,2015-04-18T13:30:00,2015-04-18T13:30:00,2015-04-18T00:00:00,,159.9,159.9,300,300,,,,40,4059,125.158,1,1,8,48,87.218,01:50:00,,1458884.0,"Joey Logano won the Drive to Stop Diabetes 300 at Bristol Motor Speedway, his 23rd victory in the NASCAR XFINITY Series and second at the track. Prior to the start of the race, no cars dropped to the rear of the field.",0,PRN,FS1,2133,,,,,,,,
4442,2,2015,Food City 300,1,1,14,Bristol Motor Speedway,2015-08-21T19:30:00,2015-08-21T19:30:00,2015-08-21T00:00:00,,159.9,160.966,300,302,,,,40,1361,126.896,10,4,8,52,86.27,01:51:57,,1404150.0,"Kyle Busch won the Food City 300 at Bristol Motor Speedway, his 73rd victory in the NASCAR XFINITY Series and his eighth at BMS. Prior to the start of the race the following car dropped to the rear of the field for the reasons indicated: No. 90 (unapproved adjustments).",0,PRN,NBCSN,2153,,,,,,,,
4427,2,2015,ToyotaCare 250,1,1,26,Richmond International Raceway,2015-04-24T19:30:00,2015-04-24T19:30:00,2015-04-24T00:00:00,,187.5,187.5,250,250,,,,40,1361,124.069,4,3,3,24,101.55,01:50:47,,1205528.0,"Denny Hamlin won the ToyotaCare 250 at Richmond International Raceway, his 12th victory in the NASCAR XFINITY Series and third at the track. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #44, 52, 70, 74 and 97 (unapproved adjustments).",0,MRN,FS1,2368,,,,,,,,
4444,2,2015,Virginia529 College Savings 250,1,1,26,Richmond International Raceway,2015-09-11T19:30:00,2015-09-11T19:30:00,2015-09-11T00:00:00,,187.5,187.5,250,250,,,,40,454,122.073,8,6,6,48,90.072,02:04:54,,1218001.0,"Chase Elliott won the Virginia529 College Savings 250, his fourth career NASCAR XFINITY Series victory. Prior to the start of the race, the following cars 
dropped to the rear of the field for the reasons indicated: No. 13, 28, 70 (unapproved adjustments). ",0,MRN,NBCSN,2332,,,,,,,,
4433,2,2015,Road America 180 Fired Up by Johnsonville,1,1,34,Road America,2015-08-29T15:00:00,2015-08-29T15:00:00,,,202.4,182.16,50,45,,,,40,0,0.0,9,6,3,11,77.874,02:20:21,,1118322.0,"Paul Menard won the Road America 180 Fired Up by Johnnsonville, his 3rd career NASCAR XFINITY Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,NBCSN,3793,,,,,,,,
4424,2,2015,Drive4Clots.com 300,1,1,38,Auto Club Speedway,2015-03-21T16:00:00,2015-03-21T16:00:00,2015-03-21T00:00:00,,300.0,300.0,150,150,,,,40,4059,178.288,13,8,3,12,147.723,02:01:51,,1433787.0,"Kevin Harvick won the Drive4Clots.com 300 at Auto Club Speedway, his 46th victory in the NASCAR XFINITY Series. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated:  #70, 01 (unapproved adjustments).",0,MRN,FS1,2596,,,,,,,,
4437,2,2015,Owens Corning AttiCat 300,1,1,39,Chicagoland Speedway,2015-06-20T21:30:00,2015-06-21T00:00:00,2015-06-20T00:00:00,,300.0,300.0,200,200,,,,40,3873,176.569,23,11,7,39,118.812,02:31:30,,1367242.0,"Erik Jones won the Owens Corning AttiCat 300 at Chicagoland Speedway, his first win at the track and his second career win. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 1, No. 3, No. 52, No. 79 (unnaproved adjustments), No. 22 (back up car), No. 0 and No. 74 (missing drivers meeting).",0,MRN,FS1,4214,,,,,,,,
4445,2,2015,Furious 7 300,1,1,39,Chicagoland Speedway,2015-09-19T18:00:00,2015-09-19T18:00:00,2015-09-19T00:00:00,,300.0,300.0,200,200,,,,40,454,180.959,15,7,5,22,136.709,02:11:40,,1470945.0,"Kyle Busch won the Furious 7 300, his 74th career NASCAR XFINITY Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: Nos. 1, 92 (unapproved adjustments).",0,MRN,NBCSN,2712,,,,,,,,
