race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,stage_4_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round
5113,2,2021,Food City 300,1,False,14,Bristol Motor Speedway,2021-09-17T19:30:00,2021-09-17T19:30:00,1900-01-01T00:00:00,2021-09-17T19:30:00,159.9,163.1,300,306,85,85,136,0,40,0,0.0,11,7,10,72,75.026,2:10:26,0.082,0,0,PRN,NBCSN,2153,True,0
5114,2,2021,Alsco Uniforms 302,1,False,42,Las Vegas Motor Speedway,2021-09-25T19:30:00,2021-09-25T16:30:00,1900-01-01T00:00:00,2021-09-25T19:30:00,302.0,301.5,201,201,45,45,111,0,40,0,0.0,13,7,6,32,123.509,2:26:28,4.398,0,0,PRN,NBCSN,4082,True,1
5115,2,2021,Sparks 300 at Talladega,1,True,82,Talladega Superspeedway,2021-10-02T16:30:00,2021-10-02T15:30:00,1900-01-01T00:00:00,2021-10-02T16:30:00,300.58,284.62,113,107,25,25,57,0,40,0,0.0,33,17,5,21,128.486,2:04:55,Caution,0,0,MRN,NBCSN,5001,True,1
5116,2,2021,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,1,False,210,Charlotte Motor Speedway Road Course,2021-10-09T15:00:00,2021-10-09T15:00:00,1900-01-01T00:00:00,2021-10-09T15:00:00,155.44,157.76,67,68,20,20,28,0,40,0,0.0,6,5,7,13,74.396,2:07:14,3.192,0,0,PRN,NBC,4742,True,1
5117,2,2021,Andy's Frozen Custard 335,1,False,43,Texas Motor Speedway,2021-10-16T15:00:00,2021-10-16T14:00:00,1900-01-01T00:00:00,2021-10-16T15:00:00,300.0,300.0,200,200,45,45,110,0,40,0,0.0,8,5,10,54,115.533,2:35:48,1.316,0,0,PRN,NBC,3794,True,2
5118,2,2021,Kansas Lottery 300,1,False,41,Kansas Speedway,2021-10-23T15:00:00,2021-10-23T14:00:00,1900-01-01T00:00:00,2021-10-23T15:00:00,300.0,300.0,200,200,45,45,110,0,40,0,0.0,19,6,10,46,112.641,2:39:48,0.759,0,0,MRN,NBC,2721,True,2
5119,2,2021,Dead On Tools 250,1,False,22,Martinsville Speedway,2021-10-30T18:00:00,2021-10-30T18:00:00,1900-01-01T00:00:00,2021-10-30T18:00:00,131.5,135.18,250,257,60,60,137,0,40,0,0.0,13,6,13,75,62.01,2:10:48,0.064,0,0,MRN,NBCSN,4916,True,2
5120,2,2021,NASCAR Xfinity Series Championship,1,False,84,Phoenix Raceway,2021-11-06T20:30:00,2021-11-06T20:30:00,2021-11-06T17:30:00,2021-11-06T20:30:00,200.0,204.0,200,204,45,45,114,0,36,4180,131.902,16,5,10,61,85.845,2:22:35,0.030,0,0,MRN,NBCSN,2860,True,3
5121,3,2021,NextEra Energy 250,1,True,105,Daytona International Speedway,2021-02-12T19:30:00,2021-02-12T19:30:00,2021-02-12T19:30:00,,250.0,252.5,100,101,20,20,61,0,36,2911,180.966,31,12,10,43,107.791,2:20:33,.036,0,0,MRN,FS1,3020,True,0
5122,3,2021,BrakeBest Brake Pads 159 At DAYTONA Presented by O'Reilly,1,False,212,DAYTONA Road Course,2021-02-19T19:30:00,2021-02-19T19:30:00,1900-01-01T00:00:00,,159.0,184.11,44,51,12,13,26,0,40,0,0.0,9,6,10,20,67.044,2:44:46,Caution,0,0,MRN,FS1,4996,True,0
